state,year,domestic_tourists,foreign_tourists,domestic_pct,foreign_pct
Andaman & Nicobar Island,2019,505398,16206,96.9,3.1
Andaman & Nicobar Island,2022,235100,4500,98.1,1.9
Andhra Pradesh,2019,237051508,280356,99.9,0.1
Andhra Pradesh,2022,192767000,165800,99.9,0.1
Arunachal Pradesh,2019,555639,7825,98.6,1.4
Arunachal Pradesh,2022,222000,1000,99.6,0.4
Assam,2019,5447805,26878,99.5,0.5
Assam,2022,8382000,9000,99.9,0.1
Bihar,2019,33990038,1093141,96.9,3.1
Bihar,2022,25330000,87000,99.7,0.3
Chandigarh,2019,1563795,44132,97.3,2.7
Chandigarh,2022,3027000,28000,99.1,0.9
Chhattisgarh,2019,17304506,6817,100,0
Chhattisgarh,2022,23636000,,,
Delhi ,2019,36467598,2983436,92.4,7.6
Delhi ,2022,27186000,816000,97.1,2.9
Goa,2019,7127287,937113,88.4,11.6
Goa,2022,7012000,175000,97.6,2.4
Gujarat,2019,58864661,595607,99,1
Gujarat,2022,135811000,1777000,98.7,1.3
Haryana,2019,4549017,48046,99,1
Haryana,2022,2108000,2000,99.9,0.1
Himachal Pradesh,2019,16829231,382876,97.8,2.2
Himachal Pradesh,2022,15071000,29000,99.8,0.2
Jammu & Kashmir,2019,16163330,57920,99.6,0.4
Jammu & Kashmir,2022,18499000,20000,99.9,0.1
Jharkhand,2019,35580768,176043,99.5,0.5
Jharkhand,2022,38284000,192000,99.5,0.5
Karnataka,2019,227934714,608754,99.7,0.3
Karnataka,2022,182413000,129000,99.9,0.1
Kerala,2019,18384233,1189771,93.9,6.1
Kerala,2022,18867000,346000,98.2,1.8
Ladakh,2019,241285,38652,86.2,13.8
Ladakh,2022,510000,21000,96,4
Lakshadweep,2019,6985,820,89.5,10.5
Lakshadweep,2022,23000,,,
Madhya Pradesh,2019,88707139,327958,99.6,0.4
Madhya Pradesh,2022,35849000,204000,99.4,0.6
Maharashtra,2019,149294703,5528704,96.4,3.6
Maharashtra,2022,111298000,1512000,98.7,1.3
Manipur,2019,167560,13608,92.5,7.5
Manipur,2022,140000,4000,97.2,2.8
Meghalaya,2019,1245633,25813,98,2
Meghalaya,2022,937000,8000,99.2,0.8
Mizoram,2019,163762,2249,98.6,1.4
Mizoram,2022,218000,3000,98.6,1.4
Nagaland,2019,125949,5577,95.8,4.2
Nagaland,2022,97000,3000,97,3
Odisha,2019,15307637,115128,99.3,0.7
Odisha,2022,7868000,22000,99.7,0.3
Puducherry,2019,1713248,149919,92,8
Puducherry,2022,1760000,1000,99.9,0.1
Punjab,2019,47385387,1101343,97.7,2.3
Punjab,2022,26089000,329000,98.8,1.2
Rajasthan,2019,52220431,1605560,97,3
Rajasthan,2022,108328000,397000,99.6,0.4
Sikkim,2019,1421823,133388,91.4,8.6
Sikkim,2022,1626000,69000,95.9,4.1
Tamil Nadu,2019,494865257,6866327,98.6,1.4
Tamil Nadu,2022,218585000,407000,99.8,0.2
Telangana,2019,83035894,323326,99.6,0.4
Telangana,2022,60748000,68000,99.9,0.1
Tripura,2019,437201,154405,73.9,26.1
Tripura,2022,236000,8000,96.7,3.3
UT of Dadra & Nagar Haveli and Daman and Diu,2019,1516134,7369,99.5,0.5
UT of Dadra & Nagar Haveli and Daman and Diu,2022,800000,2000,99.8,0.2
Uttar Pradesh,2019,535855162,4745181,99.1,0.9
Uttar Pradesh,2022,317914000,649000,99.8,0.2
Uttarakhand,2019,37585920,152273,99.6,0.4
Uttarakhand,2022,54643000,62000,99.9,0.1
West Bengal,2019,92366025,1656145,98.2,1.8
West Bengal,2022,84542000,1037000,98.8,1.2
