year,month,fta_count
2018,January,1497263
2019,January,1551947
2020,January,1730952
2021,January,581000
2022,January,731848
2023,January,1598012
2018,February,1502557
2019,February,1492719
2020,February,1513549
2021,February,541430
2022,February,745608
2023,February,1492091
2018,March,1525630
2019,March,1462838
2020,March,615985
2021,March,613085
2022,March,1013967
2023,March,1505653
2018,April,1241564
2019,April,1282355
2020,April,3053
2021,April,491807
2022,April,1142523
2023,April,1385508
2018,May,1135936
2019,May,1233736
2020,May,29524
2021,May,224663
2022,May,1118772
2023,May,1381956
2018,June,1407273
2019,June,1395170
2020,June,189546
2021,June,253543
2022,June,1320293
2023,June,1682396
2018,July,1581095
2019,July,1593705
2020,July,297298
2021,July,411527
2022,July,1538050
2023,July,1706540
2018,August,1471506
2019,August,1474406
2020,August,290430
2021,August,457561
2022,August,1100609
2023,August,1372177
2018,September,1167934
2019,September,1241027
2020,September,302558
2021,September,550855
2022,September,1047229
2023,September,1255687
2018,October,1417609
2019,October,1569480
2020,October,373708
2021,October,845186
2022,October,1305864
2023,October,1546528
2018,November,1600931
2019,November,1699316
2020,November,477918
2021,November,947525
2022,November,1448754
2023,November,1842456
2018,December,1874122
2019,December,1916815
2020,December,512601
2021,December,1091453
2022,December,1816160
2023,December,2130206
