year,state,domestic_tourists,foreign_tourists,domestic_recovery_index,foreign_recovery_index
2019,Andaman & Nicobar Island,505398,16206,100.0,100.0
2020,Andaman & Nicobar Island,191207,5412,37.8,33.4
2021,Andaman & Nicobar Island,126238,1687,25.0,10.4
2022,Andaman & Nicobar Island,235100,4500,46.5,27.8
2023,Andaman & Nicobar Island,32300,900,6.4,5.6
2019,Andhra Pradesh,237051508,280356,100.0,100.0
2020,Andhra Pradesh,70828590,67591,29.9,24.1
2021,Andhra Pradesh,93277569,27551,39.3,9.8
2022,Andhra Pradesh,192767000,165800,81.3,59.1
2023,Andhra Pradesh,25470600,6000,10.7,2.1
2019,Arunachal Pradesh,555639,7825,100.0,100.0
2020,Arunachal Pradesh,42871,961,7.7,12.3
2021,Arunachal Pradesh,102915,182,18.5,2.3
2022,Arunachal Pradesh,222000,1000,40.0,12.8
2023,Arunachal Pradesh,1041000,4000,187.4,51.1
2019,Assam,5447805,26878,100.0,100.0
2020,Assam,1266898,7285,23.3,27.1
2021,Assam,1409161,536,25.9,2.0
2022,Assam,8382000,9000,153.9,33.5
2023,Assam,7613000,24000,139.7,89.3
2019,Bihar,33990038,1093141,100.0,100.0
2020,Bihar,5638024,308080,16.6,28.2
2021,Bihar,2501193,1046,7.4,0.1
2022,Bihar,25330000,87000,74.5,8.0
2023,Bihar,81586000,547000,240.0,50.0
2019,Chandigarh,1563795,44132,100.0,100.0
2020,Chandigarh,417953,12218,26.7,27.7
2021,Chandigarh,228809,5451,14.6,12.4
2022,Chandigarh,3027000,28000,193.6,63.4
2023,Chandigarh,366000,31000,23.4,70.2
2019,Chhattisgarh,17304506,6817,100.0,100.0
2020,Chhattisgarh,2810227,2322,16.2,34.1
2021,Chhattisgarh,4747417,8,27.4,0.1
2022,Chhattisgarh,23636000,,136.6,
2023,Chhattisgarh,26022000,1000,150.4,14.7
2019,Delhi ,36467598,2983436,100.0,100.0
2020,Delhi ,9583671,681230,26.3,22.8
2021,Delhi ,10642477,100178,29.2,3.4
2022,Delhi ,27186000,816000,74.5,27.4
2023,Delhi ,39415000,1828000,108.1,61.3
2019,Goa,7127287,937113,100.0,100.0
2020,Goa,3258715,302751,45.7,32.3
2021,Goa,3308089,22128,46.4,2.4
2022,Goa,7012000,175000,98.4,18.7
2023,Goa,8175000,1000,114.7,0.1
2019,Gujarat,58864661,595607,100.0,100.0
2020,Gujarat,19464517,210047,33.1,35.3
2021,Gujarat,24525210,11319,41.7,1.9
2022,Gujarat,135811000,1777000,230.7,298.4
2023,Gujarat,178067000,2807000,302.5,471.3
2019,Haryana,4549017,48046,100.0,100.0
2020,Haryana,2114731,17474,46.5,36.4
2021,Haryana,2025450,4578,44.5,9.5
2022,Haryana,2108000,2000,46.3,4.2
