year ,month ,fta_count,,,,
2018,January," 14,97,263 ",,,,
2019,January," 15,51,947 ",,,,
2020,January," 17,30,952 ",,,,
2021,January," 5,81,000 ",,,,
2022,January," 7,31,848 ",,,,
2023,January,"15,98,012",,,,
2018,February," 15,02,557 ",,,,
2019,February," 14,92,719 ",,,,
2020,February," 15,13,549 ",,,,
2021,February," 5,41,430 ",,,,
2022,February," 7,45,608 ",,,,
2023,February,"14,92,091",,,,
2018,March," 15,25,630 ",,,,
2019,March," 14,62,838 ",,,,
2020,March," 6,15,985 ",,,,
2021,March," 6,13,085 ",,,,
2022,March," 10,13,967 ",,,,
2023,March,"15,05,653",,,,
2018,April," 12,41,564 ",,,,
2019,April," 12,82,355 ",,,,
2020,April," 3,053 ",,,,
2021,April," 4,91,807 ",,,,
2022,April," 11,42,523 ",,,,
2023,April,"13,85,508",,,,
2018,May," 11,35,936 ",,,,
2019,May," 12,33,736 ",,,,
2020,May," 29,524 ",,,,
2021,May," 2,24,663 ",,,,
2022,May," 11,18,772 ",,,,
2023,May,"13,81,956",,,,
2018,June," 14,07,273 ",,,,
2019,June," 13,95,170 ",,,,
2020,June," 1,89,546 ",,,,
2021,June," 2,53,543 ",,,,
2022,June," 13,20,293 ",,,,
2023,June,"16,82,396",,,,
2018,July," 15,81,095 ",,,,
2019,July," 15,93,705 ",,,,
2020,July," 2,97,298 ",,,,
2021,July," 4,11,527 ",,,,
2022,July," 15,38,050 ",,,,
2023,July,"17,06,540",,,,
2018,August," 14,71,506 ",,,,
2019,August," 14,74,406 ",,,,
2020,August," 2,90,430 ",,,,
2021,August," 4,57,561 ",,,,
2022,August," 11,00,609 ",,,,
2023,August,"13,72,177",,,,
2018,September," 11,67,934 ",,,,
2019,September," 12,41,027 ",,,,
2020,September," 3,02,558 ",,,,
2021,September," 5,50,855 ",,,,
2022,September," 10,47,229 ",,,,
2023,September,"12,55,687",,,,
2018,October," 14,17,609 ",,,,
2019,October," 15,69,480 ",,,,
2020,October," 3,73,708 ",,,,
2021,October," 8,45,186 ",,,,
2022,October," 13,05,864 ",,,,
2023,October,"15,46,528",,,,
2018,November," 16,00,931 ",,,,
2019,November," 16,99,316 ",,,,
2020,November," 4,77,918 ",,,,
2021,November," 9,47,525 ",,,,
2022,November," 14,48,754 ",,,,
2023,November,"18,42,456",,,,
2018,December," 18,74,122 ",,,,
2019,December," 19,16,815 ",,,,
2020,December," 5,12,601 ",,,,
2021,December," 10,91,453 ",,,,
2022,December," 18,16,160 ",,,,
2023,December,"21,30,206",,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
