,,,,,,,,
year,state,domestic_tourists ,foreign_tourists ,,,,,
2016,Andaman & Nicobar Island," 3,84,552 "," 15,466 ",,,,,
2017,Andaman & Nicobar Island," 4,71,919 "," 15,313 ",,,,,
2018,Andaman & Nicobar Island," 4,98,279 "," 15,242 ",,,,,
2019,Andaman & Nicobar Island," 5,05,398 "," 16,206 ",,,,,
2020,Andaman & Nicobar Island," 1,91,207 "," 5,412 ",,,,,
2021,Andaman & Nicobar Island," 1,26,238 "," 1,687 ",,,,,
2022,Andaman & Nicobar Island," 23,51,000 "," 4,500 ",,,,,
2023,Andaman & Nicobar Island," 32,300 ", 900 ,,,,,
2016,Andhra Pradesh," 15,31,63,354 "," 3,41,764 ",,,,,
2017,Andhra Pradesh," 16,54,33,898 "," 2,71,362 ",,,,,
2018,Andhra Pradesh," 19,47,67,874 "," 2,81,083 ",,,,,
2019,Andhra Pradesh," 23,70,51,508 "," 2,80,356 ",,,,,
2020,Andhra Pradesh," 7,08,28,590 "," 67,591 ",,,,,
2021,Andhra Pradesh," 9,32,77,569 "," 27,551 ",,,,,
2022,Andhra Pradesh," 19,27,67,000 "," 1,65,800 ",,,,,
2023,Andhra Pradesh," 2,54,70,600 "," 6,000 ",,,,,
2016,Arunachal Pradesh," 3,85,875 "," 6,598 ",,,,,
2017,Arunachal Pradesh," 4,44,005 "," 7,147 ",,,,,
2018,Arunachal Pradesh," 5,12,436 "," 7,653 ",,,,,
2019,Arunachal Pradesh," 5,55,639 "," 7,825 ",,,,,
2020,Arunachal Pradesh," 42,871 ", 961 ,,,,,
2021,Arunachal Pradesh," 1,02,915 ", 182 ,,,,,
2022,Arunachal Pradesh," 2,22,000 "," 1,000 ",,,,,
2023,Arunachal Pradesh," 10,41,000 "," 4,000 ",,,,,
2016,Assam," 51,60,599 "," 12,685 ",,,,,
2017,Assam," 60,52,667 "," 21,760 ",,,,,
2018,Assam," 58,56,282 "," 36,846 ",,,,,
2019,Assam," 54,47,805 "," 26,878 ",,,,,
2020,Assam," 12,66,898 "," 7,285 ",,,,,
2021,Assam," 14,09,161 ", 536 ,,,,,
2022,Assam," 83,82,000 "," 9,000 ",,,,,
2023,Assam," 76,13,000 "," 24,000 ",,,,,
2016,Bihar," 2,85,16,127 "," 10,10,531 ",,,,,
2017,Bihar," 3,24,14,063 "," 10,82,705 ",,,,,
2018,Bihar," 3,36,21,613 "," 10,87,971 ",,,,,
2019,Bihar," 3,39,90,038 "," 10,93,141 ",,,,,
2020,Bihar," 56,38,024 "," 3,08,080 ",,,,,
2021,Bihar," 25,01,193 "," 1,046 ",,,,,
2022,Bihar," 2,53,30,000 "," 87,000 ",,,,,
2023,Bihar," 8,15,86,000 "," 5,47,000 ",,,,,
2016,Chandigarh," 11,82,504 "," 31,549 ",,,,,
2017,Chandigarh," 14,25,781 "," 31,832 ",,,,,
2018,Chandigarh," 15,38,796 "," 39,681 ",,,,,
2019,Chandigarh," 15,63,795 "," 44,132 ",,,,,
2020,Chandigarh," 4,17,953 "," 12,218 ",,,,,
2021,Chandigarh," 2,28,809 "," 5,451 ",,,,,
2022,Chandigarh," 30,27,000 "," 28,000 ",,,,,
2023,Chandigarh," 3,66,000 "," 31,000 ",,,,,
2016,Chhattisgarh," 1,65,34,471 "," 9,220 ",,,,,
2017,Chhattisgarh," 1,73,50,030 "," 6,701 ",,,,,
2018,Chhattisgarh," 1,93,29,501 "," 14,399 ",,,,,
2019,Chhattisgarh," 1,73,04,506 "," 6,817 ",,,,,
2020,Chhattisgarh," 28,10,227 "," 2,322 ",,,,,
2021,Chhattisgarh," 47,47,417 ", 8 ,,,,,
2022,Chhattisgarh," 2,36,36,000 ", -   ,,,,,
2023,Chhattisgarh," 2,60,22,000 "," 1,000 ",,,,,
2016,UT of Dadra & Nagar Haveli and Daman and Diu," 14,15,275 "," 7,560 ",,,,,
2017,UT of Dadra & Nagar Haveli and Daman and Diu," 14,72,313 "," 7,443 ",,,,,
2018,UT of Dadra & Nagar Haveli and Daman and Diu," 15,08,259 "," 7,302 ",,,,,
2019,UT of Dadra & Nagar Haveli and Daman and Diu," 15,16,134 "," 7,369 ",,,,,
2020,UT of Dadra & Nagar Haveli and Daman and Diu," 4,02,395 "," 1,604 ",,,,,
2021,UT of Dadra & Nagar Haveli and Daman and Diu," 6,61,222 ", 185 ,,,,,
2022,UT of Dadra & Nagar Haveli and Daman and Diu," 8,00,000 "," 2,000 ",,,,,
2023,UT of Dadra & Nagar Haveli and Daman and Diu," 10,04,000 "," 4,000 ",,,,,
2016,Delhi *," 2,84,60,832 "," 25,20,083 ",,,,,
2017,Delhi *," 2,91,14,423 "," 27,40,502 ",,,,,
2018,Delhi #," 2,91,14,423 "," 27,40,502 ",,,,,
2019,Delhi *," 3,64,67,598 "," 29,83,436 ",,,,,
2020,Delhi *," 95,83,671 "," 6,81,230 ",,,,,
2021,Delhi *," 1,06,42,477 "," 1,00,178 ",,,,,
2022,Delhi *," 2,71,86,000 "," 8,16,000 ",,,,,
2023,Delhi *," 3,94,15,000 "," 18,28,000 ",,,,,
2016,Goa," 56,50,061 "," 6,80,683 ",,,,,
2017,Goa," 68,95,234 "," 8,42,220 ",,,,,
2018,Goa," 70,81,559 "," 9,33,841 ",,,,,
2019,Goa," 71,27,287 "," 9,37,113 ",,,,,
2020,Goa," 32,58,715 "," 3,02,751 ",,,,,
2021,Goa," 33,08,089 "," 22,128 ",,,,,
2022,Goa," 70,12,000 "," 1,75,000 ",,,,,
2023,Goa," 81,75,000 "," 1,000 ",,,,,
2016,Gujarat," 4,22,52,909 "," 3,43,752 ",,,,,
2017,Gujarat," 4,83,43,121 "," 4,48,853 ",,,,,
2018,Gujarat," 5,43,69,873 "," 5,13,113 ",,,,,
2019,Gujarat," 5,88,64,661 "," 5,95,607 ",,,,,
2020,Gujarat," 1,94,64,517 "," 2,10,047 ",,,,,
2021,Gujarat," 2,45,25,210 "," 11,319 ",,,,,
2022,Gujarat," 13,58,11,000 "," 17,77,000 ",,,,,
2023,Gujarat," 17,80,67,000 "," 28,07,000 ",,,,,
2016,Haryana," 73,82,995 "," 3,31,291 ",,,,,
2017,Haryana," 60,50,325 "," 1,93,381 ",,,,,
2018,Haryana," 48,88,952 "," 73,977 ",,,,,
2019,Haryana," 45,49,017 "," 48,046 ",,,,,
2020,Haryana," 21,14,731 "," 17,474 ",,,,,
2021,Haryana," 20,25,450 "," 4,578 ",,,,,
2022,Haryana," 21,08,000 "," 2,000 ",,,,,
2023,Haryana," 20,12,000 "," 1,000 ",,,,,
2016,Himachal Pradesh," 1,79,97,750 "," 45,27,710 ",,,,,
2017,Himachal Pradesh," 1,91,30,541 "," 4,70,992 ",,,,,
2018,Himachal Pradesh," 1,60,93,935 "," 3,56,568 ",,,,,
2019,Himachal Pradesh," 1,68,29,231 "," 3,82,876 ",,,,,
2020,Himachal Pradesh," 31,70,714 "," 42,665 ",,,,,
2021,Himachal Pradesh," 56,32,270 "," 4,932 ",,,,,
